2023-07-31 20:19:53.779  INFO [PAYMENT-SERVICE,,] 19980 --- [main] ServiceMsTargetMsZipkinSluethApplication : Started BootMsProj13PaymentServiceMsTargetMsZipkinSluethApplication in 7.295 seconds (JVM running for 7.773)
2023-07-31 20:20:23.528  INFO [PAYMENT-SERVICE,,] 19980 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2023-07-31 20:20:23.529  INFO [PAYMENT-SERVICE,,] 19980 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2023-07-31 20:20:23.529  INFO [PAYMENT-SERVICE,,] 19980 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2023-07-31 20:20:23.529  INFO [PAYMENT-SERVICE,,] 19980 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Application is null : false
2023-07-31 20:20:23.530  INFO [PAYMENT-SERVICE,,] 19980 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2023-07-31 20:20:23.530  INFO [PAYMENT-SERVICE,,] 19980 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Application version is -1: false
2023-07-31 20:20:23.530  INFO [PAYMENT-SERVICE,,] 19980 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2023-07-31 20:20:23.555  INFO [PAYMENT-SERVICE,,] 19980 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : The response status is 200
2023-07-31 20:22:57.692  INFO [PAYMENT-SERVICE,,] 19980 --- [http-nio-9091-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-07-31 20:22:57.692  INFO [PAYMENT-SERVICE,,] 19980 --- [http-nio-9091-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2023-07-31 20:22:57.694  INFO [PAYMENT-SERVICE,,] 19980 --- [http-nio-9091-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
2023-07-31 20:22:57.758  INFO [PAYMENT-SERVICE,84acf3ab00a31e6e,0990241841fb9e16] 19980 --- [http-nio-9091-exec-1] c.n.p.PaymentServiceOperationsController : start of  getPaymentOptions() method
2023-07-31 20:22:57.759  INFO [PAYMENT-SERVICE,84acf3ab00a31e6e,0990241841fb9e16] 19980 --- [http-nio-9091-exec-1] c.n.p.PaymentServiceOperationsController : end of  getPaymentOptions() method
2023-07-31 20:24:52.833  INFO [PAYMENT-SERVICE,,] 19980 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
